DDB Spell ID,Spell ID,Name,Level,Source,Page,Source Citation,Casting Time,Range/Area,Components,Components [expanded],Duration,School,Attack/Save,Save,Damage/Effect,Notes,Description,At Higher Levels,Spell Tags,Available For,DDB URL,DDB Filter URL
2256,slow,Slow,3,Basic Rules (2014),277,"Basic Rules (2014), pg. 277",1 Action,120 ft. (40 ft. ),"V, S, M *","V, S, M (a drop of molasses)",Concentration 1 Minute,Transmutation,WIS Save,Wis,Control (...),,"You alter time around up to six creatures of your choice in a 40-foot cube within range. Each target must succeed on a Wisdom saving throw or be affected by this spell for the duration.
An affected target's speed is halved, it takes a −2 penalty to AC and Dexterity saving throws, and it can't use reactions. On its turn, it can use either an action or a bonus action, not both. Regardless of the creature's abilities or magic items, it can't make more than one melee or ranged attack during its turn.
If the creature attempts to cast a spell with a casting time of 1 action, roll a d20. On an 11 or higher, the spell doesn't take effect until the creature's next turn, and the creature must use its action on that turn to complete the spell. If it can't, the spell is wasted.
A creature affected by this spell makes another Wisdom saving throw at the end of each of its turns. On a successful save, the effect ends for it.",,"Control, Debuff","Sorcerer (Legacy), Wizard (Legacy), Cleric (Legacy) - Order Domain, Cleric (Legacy) - Blood Domain, Paladin (Legacy) - Oath of the Spelldrinker, Warlock (Legacy) - The Predator, Illrigger - Architect of Ruin",https://www.dndbeyond.com/spells/2256-slow,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
2257,spare-the-dying,Spare the Dying,0,Basic Rules (2014),277,"Basic Rules (2014), pg. 277",1 Action,Touch,"V, S","V, S",Instantaneous,Necromancy,None,,Healing,The creature becomes stable. This spell has no effect on undead or constructs.,You touch a living creature that has 0 hit points. The creature becomes stable. This spell has no effect on undead or constructs.,,Healing,"Cleric (Legacy), Artificer (Legacy)",https://www.dndbeyond.com/spells/2257-spare-the-dying,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
2258,speak-with-animals,Speak with Animals,1,Basic Rules (2014),277,"Basic Rules (2014), pg. 277",1 Action Ritual,Self,"V, S","V, S",10 Minutes,Divination,None,,Communication (...),Duration: 10min. You gain the ability to comprehend and verbally communicate with beasts for the duration.,"You gain the ability to comprehend and verbally communicate with beasts for the duration. The knowledge and awareness of many beasts is limited by their intelligence, but at minimum, beasts can give you information about nearby locations and monsters, including whatever they can perceive or have perceived within the past day. You might be able to persuade a beast to perform a small favor for you, at the GM's discretion.",,"Communication, Social","Bard (Legacy), Druid (Legacy), Ranger (Legacy), Cleric (Legacy) - Nature Domain (Legacy), Paladin (Legacy) - Oath of the Ancients (Legacy)",https://www.dndbeyond.com/spells/2258-speak-with-animals,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
2259,speak-with-dead,Speak with Dead,3,Basic Rules (2014),277,"Basic Rules (2014), pg. 277",1 Action,10 ft.,"V, S, M *","V, S, M (burning incense)",10 Minutes,Necromancy,None,,Communication (...),"Duration: 10mins. Works on a corpse, 5 questions.","You grant the semblance of life and intelligence to a corpse of your choice within range, allowing it to answer the questions you pose. The corpse must still have a mouth and can't be undead. The spell fails if the corpse was the target of this spell within the last 10 days.
Until the spell ends, you can ask the corpse up to five questions. The corpse knows only what it knew in life, including the languages it knew. Answers are usually brief, cryptic, or repetitive, and the corpse is under no compulsion to offer a truthful answer if you are hostile to it or it recognizes you as an enemy. This spell doesn't return the creature's soul to its body, only its animating spirit. Thus, the corpse can't learn new information, doesn't comprehend anything that has happened since it died, and can't speculate about future events.",,"Communication, Social","Bard (Legacy), Cleric (Legacy), Cleric (Legacy) - Knowledge Domain (Legacy), Warlock (Legacy) - The Undying, Warlock (Legacy) - The Undead, Paladin (Legacy) - Oath of Castigation (2014)",https://www.dndbeyond.com/spells/2259-speak-with-dead,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
2260,speak-with-plants,Speak with Plants,3,Basic Rules (2014),277,"Basic Rules (2014), pg. 277",1 Action,Self,"V, S","V, S",10 Minutes,Transmutation,None,,Communication (...),,"You imbue plants within 30 feet of you with limited sentience and animation, giving them the ability to communicate with you and follow your simple commands. You can question plants about events in the spell’s area within the past day, gaining information about creatures that have passed, weather, and other circumstances.
You can also turn difficult terrain caused by plant growth (such as thickets and undergrowth) into ordinary terrain that lasts for the duration. Or you can turn ordinary terrain where plants are present into difficult terrain that lasts for the duration, causing vines and branches to hinder pursuers, for example.
Plants might be able to perform other tasks on your behalf, at the GM’s discretion. The spell doesn’t enable plants to uproot themselves and move about, but they can freely move branches, tendrils, and stalks.
If a plant creature is in the area, you can communicate with it as if you shared a common language, but you gain no magical ability to influence it.
This spell can cause the plants created by the
entangle
spell to release a
restrained
creature.",,"Communication, Social","Bard (Legacy), Druid (Legacy), Ranger (Legacy)",https://www.dndbeyond.com/spells/2260-speak-with-plants,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
2261,spider-climb,Spider Climb,2,Basic Rules (2014),277,"Basic Rules (2014), pg. 277",1 Action,Touch,"V, S, M *","V, S, M (a drop of bitumen and a spider)",Concentration 1 Hour,Transmutation,None,,Buff (...),,"Until the spell ends, one willing creature you touch gains the ability to move up, down, and across vertical surfaces and upside down along ceilings, while leaving its hands free. The target also gains a climbing speed equal to its walking speed.",,"Buff, Movement","Sorcerer (Legacy), Warlock (Legacy), Wizard (Legacy), Artificer (Legacy)",https://www.dndbeyond.com/spells/2261-spider-climb,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
2262,spike-growth,Spike Growth,2,Basic Rules (2014),277,"Basic Rules (2014), pg. 277",1 Action,150 ft. (20 ft. ),"V, S, M *","V, S, M (seven sharp thorns or seven small twigs, each sharpened to a point)",Concentration 10 Minutes,Transmutation,None,,Control (...),,"The ground in a 20-foot radius centered on a point within range twists and sprouts hard spikes and thorns. The area becomes
difficult terrain
for the duration. When a creature moves into or within the area, it takes 2d4 piercing damage for every 5 feet it travels.
The transformation of the ground is camouflaged to look natural. Any creature that can't see the area at the time the spell is cast must make a Wisdom (
Perception
) check against your spell save DC to recognize the terrain as hazardous before entering it.",,"Damage, Control","Druid (Legacy), Ranger (Legacy), Cleric (Legacy) - Nature Domain (Legacy), Warlock (Legacy) - The Genie, Druid (Legacy) - Circle of the Old Ways (2014), Warlock (Legacy) - The Horned King (2014)",https://www.dndbeyond.com/spells/2262-spike-growth,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
2264,spirit-guardians,Spirit Guardians,3,Basic Rules (2014),278,"Basic Rules (2014), pg. 278",1 Action,Self (15 ft. ),"V, S, M *","V, S, M (a holy symbol)",Concentration 10 Minutes,Conjuration,WIS Save,Wis,Radiant (...),Upcast Damage. Target speed is halved.,"You call forth spirits to protect you. They flit around you to a distance of 15 feet for the duration. If you are good or neutral, their spectral form appears angelic or fey (your choice). If you are evil, they appear fiendish.
When you cast this spell, you can designate any number of creatures you can see to be unaffected by it. An affected creature's speed is halved in the area, and when the creature enters the area for the first time on a turn or starts its turn there, it must make a Wisdom saving throw. On a failed save, the creature takes 3d8 radiant damage (if you are good or neutral) or 3d8 necrotic damage (if you are evil). On a successful save, the creature takes half as much damage.","When you cast this spell using a spell slot of 4th level or higher, the damage increases by 1d8 for each slot level above 3rd.","Damage, Control","Cleric (Legacy), Cleric (Legacy) - War Domain (Legacy), Cleric (Legacy) - Community Domain, Cleric (Legacy) - Keeper Domain, Paladin (Legacy) - Oath of the Crown",https://www.dndbeyond.com/spells/2264-spirit-guardians,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
2263,spiritual-weapon,Spiritual Weapon,2,Basic Rules (2014),278,"Basic Rules (2014), pg. 278",1 Bonus Action,60 ft.,"V, S","V, S",1 Minute,Evocation,Melee,,Force,Force Damage. Upcast: Damage,"You create a floating, spectral weapon within range that lasts for the duration or until you cast this spell again. When you cast the spell, you can make a melee spell attack against a creature within 5 feet of the weapon. On a hit, the target takes force damage equal to 1d8 + your spellcasting ability modifier.
As a bonus action on your turn, you can move the weapon up to 20 feet and repeat the attack against a creature within 5 feet of it.
The weapon can take whatever form you choose. Clerics of deities who are associated with a particular weapon (as St. Cuthbert is known for his mace and Thor for his hammer) make this spell's effect resemble that weapon.","When you cast this spell using a spell slot of 3rd level or higher, the damage increases by 1d8 for every two slot levels above 2nd.",Damage,"Cleric (Legacy), Cleric (Legacy) - Life Domain (Legacy), Cleric (Legacy) - War Domain (Legacy), Paladin (Legacy) - Oath of Conquest, Warlock (Legacy) - The Great Fool (2014)",https://www.dndbeyond.com/spells/2263-spiritual-weapon,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
2265,stinking-cloud,Stinking Cloud,3,Basic Rules (2014),278,"Basic Rules (2014), pg. 278",1 Action,90 ft. (20 ft. ),"V, S, M *","V, S, M (a rotten egg or several skunk cabbage leaves)",Concentration 1 Minute,Conjuration,CON Save,Con,Control,,"You create a 20-foot-radius sphere of yellow, nauseating gas centered on a point within range. The cloud spreads around corners, and its area is heavily obscured. The cloud lingers in the air for the duration.
Each creature that is completely within the cloud at the start of its turn must make a Constitution saving throw against poison. On a failed save, the creature spends its action that turn retching and reeling. Creatures that don't need to breathe or are immune to poison automatically succeed on this saving throw.
A moderate wind (at least 10 miles per hour) disperses the cloud after 4 rounds. A strong wind (at least 20 miles per hour) disperses it after 1 round.",,Control,"Bard (Legacy), Sorcerer (Legacy), Wizard (Legacy), Cleric (Legacy) - Festus Domain, Warlock (Legacy) - The Fiend (Legacy), Warlock (Legacy) - Mother of Sorrows, Warlock (Legacy) - The Great Fool (2014)",https://www.dndbeyond.com/spells/2265-stinking-cloud,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
2267,stone-shape,Stone Shape,4,Basic Rules (2014),278,"Basic Rules (2014), pg. 278",1 Action,Touch,"V, S, M *","V, S, M (soft clay, which must be worked into roughly the desired shape of the stone object)",Instantaneous,Transmutation,None,,Control,,"You touch a stone object of Medium size or smaller or a section of stone no more than 5 feet in any dimension and form it into any shape that suits your purpose. So, for example, you could shape a large rock into a weapon, idol, or coffer, or make a small passage through a wall, as long as the wall is less than 5 feet thick. You could also shape a stone door or its frame to seal the door shut. The object you create can have up to two hinges and a latch, but finer mechanical detail isn't possible.",,Control,"Cleric (Legacy), Druid (Legacy), Wizard (Legacy), Artificer (Legacy), Warlock (Legacy) - The Genie",https://www.dndbeyond.com/spells/2267-stone-shape,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
2266,stoneskin,Stoneskin,4,Basic Rules (2014),278,"Basic Rules (2014), pg. 278",1 Action,Touch,"V, S, M *","V, S, M (diamond dust worth 100 gp, which the spell consumes)",Concentration 1 Hour,Abjuration,None,,Buff,,"This spell turns the flesh of a willing creature you touch as hard as stone. Until the spell ends, the target has resistance to nonmagical bludgeoning, piercing, and slashing damage.",,Buff,"Druid (Legacy), Ranger (Legacy), Sorcerer (Legacy), Wizard (Legacy), Artificer (Legacy), Cleric (Legacy) - War Domain (Legacy), Cleric (Legacy) - Blood Domain, Paladin (Legacy) - Oath of the Ancients (Legacy), Paladin (Legacy) - Oath of Conquest, Paladin (Legacy) - Oath of Redemption",https://www.dndbeyond.com/spells/2266-stoneskin,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
2268,storm-of-vengeance,Storm of Vengeance,9,Basic Rules (2014),279,"Basic Rules (2014), pg. 279",1 Action,Sight,"V, S","V, S",Concentration 1 Minute,Conjuration,CON Save,Con,Thunder (...),,"A churning storm cloud forms, centered on a point you can see and spreading to a radius of 360 feet. Lightning flashes in the area, thunder booms, and strong winds roar. Each creature under the cloud (no more than 5,000 feet beneath the cloud) when it appears must make a Constitution saving throw. On a failed save, a creature takes 2d6 thunder damage and becomes
deafened
for 5 minutes.
Each round you maintain concentration on this spell, the storm produces different effects on your turn.
Round 2.
Acidic rain falls from the cloud. Each creature and object under the cloud takes 1d6 acid damage.
Round 3.
You call six bolts of lightning from the cloud to strike six creatures or objects of your choice beneath the cloud. A given creature or object can't be struck by more than one bolt. A struck creature must make a Dexterity saving throw. The creature takes 10d6 lightning damage on a failed save, or half as much damage on a successful one.
Round 4.
Hailstones rain down from the cloud. Each creature under the cloud takes 2d6 bludgeoning damage.
Round 5–10.
Gusts and freezing rain assail the area under the cloud. The area becomes difficult terrain and is heavily obscured. Each creature there takes 1d6 cold damage. Ranged weapon attacks in the area are impossible. The wind and rain count as a severe distraction for the purposes of maintaining concentration on spells. Finally, gusts of strong wind (ranging from 20 to 50 miles per hour) automatically disperse fog, mists, and similar phenomena in the area, whether mundane or magical.",,"Damage, Control, Debuff",Druid (Legacy),https://www.dndbeyond.com/spells/2268-storm-of-vengeance,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
2269,suggestion,Suggestion,2,Basic Rules (2014),279,"Basic Rules (2014), pg. 279",1 Action,30 ft.,"V, M *","V, M (a snake's tongue and either a bit of honeycomb or a drop of sweet oil)",Concentration 8 Hours,Enchantment,WIS Save,Wis,Control (...),,"You suggest a course of activity (limited to a sentence or two) and magically influence a creature you can see within range that can hear and understand you. Creatures that can't be
charmed
are immune to this effect. The suggestion must be worded in such a manner as to make the course of action sound reasonable. Asking the creature to stab itself, throw itself onto a spear, immolate itself, or do some other obviously harmful act ends the spell.
The target must make a Wisdom saving throw. On a failed save, it pursues the course of action you described to the best of its ability. The suggested course of action can continue for the entire duration. If the suggested activity can be completed in a shorter time, the spell ends when the subject finishes what it was asked to do.
You can also specify conditions that will trigger a special activity during the duration. For example, you might suggest that a knight give her warhorse to the first beggar she meets. If the condition isn't met before the spell expires, the activity isn't performed.
If you or any of your companions damage the target, the spell ends.",,"Control, Social","Bard (Legacy), Sorcerer (Legacy), Warlock (Legacy), Wizard (Legacy), Cleric (Legacy) - Knowledge Domain (Legacy), Illrigger - Architect of Ruin",https://www.dndbeyond.com/spells/2269-suggestion,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
2270,sunbeam,Sunbeam,6,Basic Rules (2014),279,"Basic Rules (2014), pg. 279",1 Action,Self (60 ft. ),"V, S, M *","V, S, M (a magnifying glass)",Concentration 1 Minute,Evocation,CON Save,Con,Radiant,This light is sunlight.,"A beam of brilliant light flashes out from your hand in a 5-foot-wide, 60-foot-long line. Each creature in the line must make a Constitution saving throw. On a failed save, a creature takes 6d8 radiant damage and is
blinded
until your next turn. On a successful save, it takes half as much damage and isn't
blinded
by this spell. Undead and oozes have disadvantage on this saving throw.
You can create a new line of radiance as your action on any turn until the spell ends.
For the duration, a mote of brilliant radiance shines in your hand. It sheds bright light in a 30-foot radius and dim light for an additional 30 feet. This light is sunlight.",,"Damage, Debuff","Druid (Legacy), Sorcerer (Legacy), Wizard (Legacy)",https://www.dndbeyond.com/spells/2270-sunbeam,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
2271,sunburst,Sunburst,8,Basic Rules (2014),279,"Basic Rules (2014), pg. 279",1 Action,150 ft. (60 ft. ),"V, S, M *","V, S, M (fire and a piece of sunstone)",Instantaneous,Evocation,CON Save,Con,Radiant,,"Brilliant sunlight flashes in a 60-foot radius centered on a point you choose within range. Each creature in that light must make a Constitution saving throw. On a failed save, a creature takes 12d6 radiant damage and is
blinded
for 1 minute. On a successful save, it takes half as much damage and isn't
blinded
by this spell. Undead and oozes have disadvantage on this saving throw.
A creature
blinded
by this spell makes another Constitution saving throw at the end of each of its turns. On a successful save, it is no longer
blinded
.
This spell dispels any darkness in its area that was created by a spell.",,"Damage, Debuff","Druid (Legacy), Sorcerer (Legacy), Wizard (Legacy)",https://www.dndbeyond.com/spells/2271-sunburst,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
2272,symbol,Symbol,7,Basic Rules (2014),280,"Basic Rules (2014), pg. 280",1 Minute,Touch (60 ft. ),"V, S, M *","V, S, M (mercury, phosphorus, and powdered diamond and opal with a total value of at least 1,000 gp, which the spell consumes)",Until Dispelled or Triggered,Abjuration,None,,Necrotic,,"When you cast this spell, you inscribe a harmful glyph either on a surface (such as a section of floor, a wall, or a table) or within an object that can be closed to conceal the glyph (such as a book, a scroll, or a treasure chest). If you choose a surface, the glyph can cover an area of the surface no larger than 10 feet in diameter. If you choose an object, that object must remain in its place; if the object is moved more than 10 feet from where you cast this spell, the glyph is broken, and the spell ends without being triggered.
The glyph is nearly invisible, requiring an Intelligence (
Investigation
) check against your spell save DC to find it.
You decide what triggers the glyph when you cast the spell. For glyphs inscribed on a surface, the most typical triggers include touching or stepping on the glyph, removing another object covering it, approaching within a certain distance of it, or manipulating the object that holds it. For glyphs inscribed within an object, the most common triggers are opening the object, approaching within a certain distance of it, or seeing or reading the glyph.
You can further refine the trigger so the spell is activated only under certain circumstances or according to a creature's physical characteristics (such as height or weight), or physical kind (for example, the ward could be set to affect hags or shapechangers). You can also specify creatures that don't trigger the glyph, such as those who say a certain password.
When you inscribe the glyph, choose one of the options below for its effect. Once triggered, the glyph glows, filling a 60-foot-radius sphere with dim light for 10 minutes, after which time the spell ends. Each creature in the sphere when the glyph activates is targeted by its effect, as is a creature that enters the sphere for the first time on a turn or ends its turn there.
Death.
Each target must make a Constitution saving throw, taking 10d10 necrotic damage on a failed save, or half as much damage on a successful save.
Discord.
Each target must make a Constitution saving throw. On a failed save, a target bickers and argues with other creatures for 1 minute. During this time, it is incapable of meaningful communication and has disadvantage on attack rolls and ability checks.
Fear.
Each target must make a Wisdom saving throw and becomes
frightened
for 1 minute on a failed save. While
frightened
, the target drops whatever it is holding and must move at least 30 feet away from the glyph on each of its turns, if able.
Hopelessness.
Each target must make a Charisma saving throw. On a failed save, the target is overwhelmed with despair for 1 minute. During this time, it can't attack or target any creature with harmful abilities, spells, or other magical effects.
Insanity.
Each target must make an Intelligence saving throw. On a failed save, the target is driven insane for 1 minute. An insane creature can't take actions, can't understand what other creatures say, can't read, and speaks only in gibberish. The GM controls its movement, which is erratic.
Pain.
Each target must make a Constitution saving throw and becomes
incapacitated
with excruciating pain for 1 minute on a failed save.
Sleep.
Each target must make a Wisdom saving throw and falls
unconscious
for 10 minutes on a failed save. A creature awakens if it takes damage or if someone uses an action to shake or slap it awake.
Stunning.
Each target must make a Wisdom saving throw and becomes
stunned
for 1 minute on a failed save.",,"Damage, Debuff","Bard (Legacy), Cleric (Legacy), Wizard (Legacy)",https://www.dndbeyond.com/spells/2272-symbol,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
2273,telekinesis,Telekinesis,5,Basic Rules (2014),280,"Basic Rules (2014), pg. 280",1 Action,60 ft.,"V, S","V, S",Concentration 10 Minutes,Transmutation,None,,Control (...),,"You gain the ability to move or manipulate creatures or objects by thought. When you cast the spell, and as your action each round for the duration, you can exert your will on one creature or object that you can see within range, causing the appropriate effect below. You can affect the same target round after round, or choose a new one at any time. If you switch targets, the prior target is no longer affected by the spell.
Creature.
You can try to move a Huge or smaller creature. Make an ability check with your spellcasting ability contested by the creature's Strength check. If you win the contest, you move the creature up to 30 feet in any direction, including upward but not beyond the range of this spell. Until the end of your next turn, the creature is
restrained
in your telekinetic grip. A creature lifted upward is suspended in mid-air.
On subsequent rounds, you can use your action to attempt to maintain your telekinetic grip on the creature by repeating the contest.
Object.
You can try to move an object that weighs up to 1,000 pounds. If the object isn't being worn or carried, you automatically move it up to 30 feet in any direction, but not beyond the range of this spell.
If the object is worn or carried by a creature, you must make an ability check with your spellcasting ability contested by that creature's Strength check. If you succeed, you pull the object away from that creature and can move it up to 30 feet in any direction but not beyond the range of this spell.
You can exert fine control on objects with your telekinetic grip, such as manipulating a simple tool, opening a door or a container, stowing or retrieving an item from an open container, or pouring the contents from a vial.",,"Control, Movement","Sorcerer (Legacy), Wizard (Legacy), Warlock (Legacy) - The Great Old One (Legacy)",https://www.dndbeyond.com/spells/2273-telekinesis,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
2274,telepathic-bond,Telepathic Bond,5,Basic Rules (2014),,Basic Rules (2014),1 Action Ritual,30 ft.,"V, S, M *","V, S, M (pieces of eggshell from two different kinds of creatures)",1 Hour,Divination,None,,Communication,,"You forge a telepathic link among up to eight willing creatures of your choice within range, psychically linking each creature to all the others for the duration. Creatures with Intelligence scores of 2 or less aren't affected by this spell.
Until the spell ends, the targets can communicate telepathically through the bond whether or not they have a common language. The communication is possible over any distance, though it can't extend to other planes of existence.",,Communication,"Wizard (Legacy), Cleric (Legacy) - Community Domain, Cleric (Legacy) - Keeper Domain, Warlock (Legacy) - The Many, Warlock - The Many",https://www.dndbeyond.com/spells/2274-telepathic-bond,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
2275,teleport,Teleport,7,Basic Rules (2014),281,"Basic Rules (2014), pg. 281",1 Action,10 ft.,V,V,Instantaneous,Conjuration,None,,Teleportation,,"This spell instantly transports you and up to eight willing creatures of your choice that you can see within range, or a single object that you can see within range, to a destination you select. If you target an object, it must be able to fit entirely inside a 10-foot cube, and it can't be held or carried by an unwilling creature.
The destination you choose must be known to you, and it must be on the same plane of existence as you. Your familiarity with the destination determines whether you arrive there successfully. The GM rolls d100 and consults the table.
Familiarity
Mishap
Similar Area
Off Target
On Target
Permanent circle
-
-
-
01-100
Associated object
-
-
-
01-100
Very familiar
01-05
06-13
14-24
25-100
Seen casually
01-33
34-43
44-53
54-100
Viewed once
01-43
44-53
54-73
74-100
Description
01-43
44-53
54-73
74-100
False destination
01-50
51-100
-
-
Familiarity.
""Permanent circle"" means a permanent teleportation circle whose sigil sequence you know. ""Associated object"" means that you possess an object taken from the desired destination within the last six months, such as a book from a wizard's library, bed linen from a royal suite, or a chunk of marble from a lich's secret tomb.
""Very familiar"" is a place you have been very often, a place you have carefully studied, or a place you can see when you cast the spell. ""Seen casually"" is someplace you have seen more than once but with which you aren't very familiar. ""Viewed once"" is a place you have seen once, possibly using magic. ""Description"" is a place whose location and appearance you know through someone else's description, perhaps from a map.
""False destination"" is a place that doesn't exist. Perhaps you tried to scry an enemy's sanctum but instead viewed an illusion, or you are attempting to teleport to a familiar location that no longer exists.
On Target.
You and your group (or the target object) appear where you want to.
Off Target.
You and your group (or the target object) appear a random distance away from the destination in a random direction. Distance off target is 1d10 × 1d10 percent of the distance that was to be traveled. For example, if you tried to travel 120 miles, landed off target, and rolled a 5 and 3 on the two d10s, then you would be off target by 15 percent, or 18 miles. The GM determines the direction off target randomly by rolling a d8 and designating 1 as north, 2 as northeast, 3 as east, and so on around the points of the compass. If you were teleporting to a coastal city and wound up 18 miles out at sea, you could be in trouble.
Similar Area.
You and your group (or the target object) wind up in a different area that's visually or thematically similar to the target area. If you are heading for your home laboratory, for example, you might wind up in another wizard's laboratory or in an alchemical supply shop that has many of the same tools and implements as your laboratory. Generally, you appear in the closest similar place, but since the spell has no range limit, you could conceivably wind up anywhere on the plane.
Mishap.
The spell's unpredictable magic results in a difficult journey. Each teleporting creature (or the target object) takes 3d10 force damage, and the GM rerolls on the table to see where you wind up (multiple mishaps can occur, dealing damage each time).",,Teleportation,"Bard (Legacy), Sorcerer (Legacy), Wizard (Legacy)",https://www.dndbeyond.com/spells/2275-teleport,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
2276,teleportation-circle,Teleportation Circle,5,Basic Rules (2014),282,"Basic Rules (2014), pg. 282",1 Minute,10 ft.,"V, M *","V, M (rare chalks and inks infused with precious gems worth 50 gp, which the spell consumes)",1 Round,Conjuration,None,,Teleportation,,"As you cast the spell, you draw a 10-foot-diameter circle on the ground inscribed with sigils that link your location to a permanent teleportation circle of your choice whose sigil sequence you know and that is on the same plane of existence as you. A shimmering portal opens within the circle you drew and remains open until the end of your next turn. Any creature that enters the portal instantly appears within 5 feet of the destination circle or in the nearest unoccupied space if that space is occupied.
Many major temples, guilds, and other important places have permanent teleportation circles inscribed somewhere within their confines. Each such circle includes a unique sigil sequence--a string of magical runes arranged in a particular pattern. When you first gain the ability to cast this spell, you learn the sigil sequences for two destinations on the Material Plane, determined by the GM. You can learn additional sigil sequences during your adventures. You can commit a new sigil sequence to memory after studying it for 1 minute.
You can create a permanent teleportation circle by casting this spell in the same location every day for one year. You need not use the circle to teleport when you cast the spell in this way.",,Teleportation,"Bard (Legacy), Sorcerer (Legacy), Wizard (Legacy), Cleric (Legacy) - Arcana Domain",https://www.dndbeyond.com/spells/2276-teleportation-circle,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
2277,thaumaturgy,Thaumaturgy,0,Basic Rules (2014),282,"Basic Rules (2014), pg. 282",1 Action,30 ft.,V,V,1 Minute,Transmutation,None,,Control,,"You manifest a minor wonder, a sign of supernatural power, within range. You create one of the following magical effects within range:
Your voice booms up to three times as loud as normal for 1 minute.
You cause flames to flicker, brighten, dim, or change color for 1 minute.
You cause harmless tremors in the ground for 1 minute.
You create an instantaneous sound that originates from a point of your choice within range, such as a rumble of thunder, the cry of a raven, or ominous whispers.
You instantaneously cause an unlocked door or window to fly open or slam shut.
You alter the appearance of your eyes for 1 minute.
If you cast this spell multiple times, you can have up to three of its 1-minute effects active at a time, and you can dismiss such an effect as an action.",,Control,"Cleric (Legacy), Illrigger - Architect of Ruin",https://www.dndbeyond.com/spells/2277-thaumaturgy,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
